Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
erincdx,https://www.instagram.com/erincdx?igsh=MWU0eHBzczVqd2p1YQ==,medium creator ,Sent,Script 2,alexxisalmc,,,,script 1 : ,0%
lilouguenairee,https://www.instagram.com/lilouguenairee?igsh=Mnc0dHlmcDI1ZnJl,small creator ,Sent,Script 2,alexxisalmc,,,,script 2 : ,48%
mrtnceliaa,https://www.instagram.com/mrtnceliaa?igsh=azh1MG8wMWd0cnF0,small creator ,Sent,Script 2,alexxisalmc,,,,script 3 :,0%
ss_bchr,https://www.instagram.com/ss_bchr?igsh=cGtvM3FnM3Bsa2Fo,medium creator ,Sent,Script 2,alexxisalmc,,,,,
rose.crtl,https://www.instagram.com/rose.crtl?igsh=MWdyYmtyYzM2MXE0bg==,medium creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
capucine.dly,https://www.instagram.com/capucine.dly?igsh=MWt3ZnEzYmY0OWd5aA==,small creator ,Talking - warm,Script 2,alexxisalmc,,,,,
othilie_bvf,https://www.instagram.com/othilie_bvf?igsh=MXh3ZnlsbGh0azZ6ag==,small creator ,Sent,Script 2,alexxisalmc,,,,,
othiliemj_,https://www.instagram.com/othiliemj_?igsh=M3I1Zzd3ZTlobjFr,small creator ,Sent,Script 2,alexxisalmc,,,,,
leyaa946,https://www.instagram.com/leyaa946?igsh=MWs4MDJxaXU5MGljdw==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
by.marytale,https://www.instagram.com/by.marytale?igsh=ZXI3bTRyMnBiNzBu,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
viktoriamcl_,https://www.instagram.com/viktoriamcl_?igsh=MXBxYXVjOWw1c290cg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
alina.gty,https://www.instagram.com/alina.gty?igsh=ZmFwcXh0NjlwNHQ1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
ae.l1e,https://www.instagram.com/ae.l1e?igsh=MWltem55ZXE5bW45cQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
kml_blood,https://www.instagram.com/kml_blood?igsh=YTB3dGJsemxzZ2lp,small creator ,Call booked ,Script 2,alexxisalmc,,,,,
dejonge_julie,https://www.instagram.com/dejonge_julie?igsh=MWk5cmsxcTUwcjBtcg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
lounaaa.mrg,https://www.instagram.com/lounaaa.mrg?igsh=MW1lOGFqMjlnZzFwZA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
jadeprtier,https://www.instagram.com/jadeprtier?igsh=bnV4Z2Jic25jOG5h,small creator ,Talking - warm,Script 2,alexxisalmc,,,,,
louise.vkrd,https://www.instagram.com/louise.vkrd?igsh=MW9zcnM3MnNuaG5yMA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
magrsn,https://www.instagram.com/magrsn?igsh=MWV6ZTNtcGllazAxZA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
julia_dalbert,https://www.instagram.com/julia_dalbert?igsh=M2dnYTg0ZnRncXZ5,medium creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
louna_14_11,https://www.instagram.com/louna_14_11?igsh=ZzB4cXUydWxqemdp,small creator ,Sent,Script 2,alexxisalmc,,,,,
leana_stlc,https://www.instagram.com/leana_stlc?igsh=b2RkajYybThvNWVw,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
iris_lbsr,https://www.instagram.com/iris_lbsr?igsh=MXYxaWV6dnVjYWo2Zw==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
_elisagn,https://www.instagram.com/_elisagn?igsh=bHU0bjhkNDcxeDk=,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
crltcstj,https://www.instagram.com/crltcstj?igsh=a2R6cGk3N3Bta3Br,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
leane_trq_,https://www.instagram.com/leane_trq_?igsh=bTR2MndjNDFiaHBz,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
guihard_28,https://www.instagram.com/guihard_28?igsh=MTI4ZHVhYXcwYjhhaQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
maiwenn.vxa,https://www.instagram.com/maiwenn.vxa?igsh=MXAzaGhsOXZuZjU2eg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
klervv_,https://www.instagram.com/klervv_?igsh=OG11NnAzbm42N29x,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
laura.frmc,https://www.instagram.com/laura.frmc?igsh=MW1xdmtpemdjb20wbg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
yuna.ylg,https://www.instagram.com/yuna.ylg?igsh=MWc1cGJsOWxxeGNqYQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
flogrrd,https://www.instagram.com/flogrrd?igsh=NmRrYmpqcDV5aHU1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
cla.cdma,https://www.instagram.com/cla.cdma?igsh=MTYzOW5idDU4YWluYw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
marine.jojoo,https://www.instagram.com/marine.jojoo?igsh=amFubmM1dnk2OXlp,small creator ,Sent,Script 2,alexxisalmc,,,,,
candydgr,https://www.instagram.com/candydgr?igsh=dDViaDQzZ2lyN21t,small creator ,Sent,Script 2,alexxisalmc,,,,,
lola_gcl,https://www.instagram.com/lola_gcl?igsh=YThldTd5eXRtZjBi,small creator ,Sent,Script 2,alexxisalmc,,,,,
emilie__dc,https://www.instagram.com/emilie__dc?igsh=ejMxcmcybTYwYmZm,small creator ,Sent,Script 2,alexxisalmc,,,,,
luciexf,https://www.instagram.com/luciexf?igsh=cDZoejh4ZHg2bmpx,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
romy_bhrs,https://www.instagram.com/romy_bhrs?igsh=NTdxeDRhN2Rvdjdq,small creator ,Sent,Script 2,alexxisalmc,,,,,
marie.rodrriguez,https://www.instagram.com/marie.rodrriguez?igsh=MjRtd2MxNDE5bzJ1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
elina.evn,https://www.instagram.com/elina.evn?igsh=MXh2dXpqcnY4OTc0NQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
mano.njt_,https://www.instagram.com/mano.njt_?igsh=MTE5aGh2NWZ5YmE5ag==,small creator ,Sent,Script 2,alexxisalmc,,,,,
